;OS;Count;Count_sp;signalHsmm;signalP;diff
3534;Phaeodactylum tricornutum.;98;1;1;0,5;0,5
4824;Trypanosoma cruzi (strain CL Brener).;142;3;1;0,503546099;0,496453901
1098;Coffea arabica (Arabian coffee).;127;1;0,992063492;0,5;0,492063492
4954;Vigna radiata var. radiata (Mung bean) (Phaseolus aureus).;53;1;0,980769231;0,5;0,480769231
1225;Crithidia fasciculata.;59;1;0,896551724;0,5;0,396551724
632;Brassica oleracea (Wild cabbage).;51;3;1;0,666666667;0,333333333
4772;Trichoplax adhaerens (Trichoplax reptans).;111;1;0,818181818;0,5;0,318181818
1325;Cucumis sativus (Cucumber).;271;1;0,777777778;0,5;0,277777778
1332;Culex quinquefasciatus (Southern house mosquito) (Culex pungens).;507;2;1;0,75;0,25
3688;Plasmodium falciparum.;118;21;1;0,75;0,25
3704;Plasmodium falciparum (isolate K1 / Thailand).;105;6;1;0,75;0,25
3729;Plasmodium vivax (strain Salvador I).;103;2;0,910891089;0,660891089;0,25
3690;Plasmodium falciparum (isolate 3D7).;428;2;0,938574939;0,737334737;0,201240201
3680;Plasmodium berghei (strain Anka).;72;1;0,946969697;0,75;0,196969697
1463;Dianthus caryophyllus (Carnation) (Clove pink).;129;3;1;0,833333333;0,166666667
1593;Drosophila mojavensis (Fruit fly).;647;11;0,971841052;0,818181818;0,153659234
4653;Theileria annulata.;99;4;0,9;0,75;0,15
279;Aplysia californica (California sea hare).;65;25;0,908;0,76;0,148
2914;Musca domestica (House fly).;56;2780;0,955974843;0,823899371;0,132075472
4202;Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis).;996;4;0,992439516;0,875;0,117439516
4070;Ricinus communis (Castor bean).;181;8;0,992052023;0,875;0,117052023
3525;Petunia hybrida (Petunia).;248;5;0,969547325;0,865020576;0,104526749
1629;Drosophila willistoni (Fruit fly).;661;11;0,99958042;0,896013986;0,103566434
3730;Plasmodium yoelii yoelii.;97;6;1;0,916666667;0,083333333
119;Alligator mississippiensis (American alligator).;122;1;1;0,917355372;0,082644628
1081;Coccidioides immitis (strain RS) (Valley fever fungus).;1071;6;0,997183099;0,916197183;0,080985915
1604;Drosophila persimilis (Fruit fly).;635;18;0,995948136;0,916666667;0,079281469
83;Ailuropoda melanoleuca (Giant panda).;165;17;0,986486486;0,908386328;0,078100159
642;Brugia malayi (Filarial nematode worm).;254;4;0,953;0,875;0,078
1627;Drosophila virilis (Fruit fly).;928;22;0,986002408;0,909090909;0,076911499
