OS;Count;signalHsmm;signalP;diff;sp_count
Agrotis ipsilon (Black cutworm moth).;2;1;0,5;0,5;1
Anopheles stephensi (Indo-Pakistan malaria mosquito).;3;1;0,5;0,5;1
Caenorhabditis remanei (Caenorhabditis vulgaris).;25;1;0,5;0,5;1
Cercospora nicotianae (Barn spot disease fungus).;20;1;0,5;0,5;1
Leishmania tropica.;2;1;0,5;0,5;1
Lipomyces kononenkoae (Yeast).;2;1;0,5;0,5;1
Loxosceles arizonica (Arizona brown spider).;13;1;0,5;0,5;1
Marmota himalayana (Himalayan marmot).;20;1;0,5;0,5;1
Numida meleagris (Helmeted guineafowl).;21;1;0,5;0,5;1
Perilla frutescens (Beefsteak mint) (Perilla ocymoides).;6;1;0,5;0,5;2
Petunia integrifolia (Violet-flowered petunia) (Salpiglossis integrifolia).;3;1;0,5;0,5;1
Phaeodactylum tricornutum.;98;1;0,5;0,5;1
Phytophthora infestans (strain T30-4) (Potato late blight fungus).;46;1;0,5;0,5;1
Plasmodium falciparum (isolate fcm17 / Senegal).;2;1;0,5;0,5;1
Polybia paulista (Neotropical social wasp) (Swarm-founding polistine wasp).;4;1;0,5;0,5;1
Riptortus clavatus (Bean bug).;2;1;0,5;0,5;1
Saccharomyces bayanus (Yeast) (Saccharomyces uvarum x Saccharomyces eubayanus).;26;1;0,5;0,5;1
Trametes hirsuta (White-rot fungus) (Coriolus hirsutus).;20;1;0,5;0,5;1
Verbena hybrida (Garden vervain) (Verbena hortensis).;2;1;0,5;0,5;1
Trypanosoma cruzi (strain CL Brener).;142;1;0,503546099;0,496453901;1
Coffea arabica (Arabian coffee).;127;0,992063492;0,5;0,492063492;1
Vigna radiata var. radiata (Mung bean) (Phaseolus aureus).;53;0,980769231;0,5;0,480769231;1
Crithidia fasciculata.;59;0,896551724;0,5;0,396551724;1
Brassica oleracea (Wild cabbage).;51;1;0,666666667;0,333333333;3
Sarcocystis muris.;4;1;0,666666667;0,333333333;3
Drosophila hydei (Fruit fly).;34;0,818181818;0,5;0,318181818;1
Trichoplax adhaerens (Trichoplax reptans).;111;0,818181818;0,5;0,318181818;1
Leishmania chagasi.;6;0,8;0,5;0,3;1
Phycomyces blakesleeanus (strain ATCC 8743b / FGSC 10004 / NBRC 33097 / NRRL 1555).;6;0,8;0,5;0,3;1
Plasmodium falciparum (isolate Camp / Malaysia).;23;0,966666667;0,666666667;0,3;3
Cucumis sativus (Cucumber).;271;0,777777778;0,5;0,277777778;1
Abrus precatorius (Indian licorice) (Glycine abrus).;5;1;0,75;0,25;2
Aspergillus kawachii (White koji mold) (Aspergillus awamori var. kawachi).;4;1;0,75;0,25;2
Bryonia dioica (Red bryony) (Bryonia cretica subsp. dioica).;3;1;0,75;0,25;2
Conus radiatus (Rayed cone).;3;1;0,75;0,25;2
Culex quinquefasciatus (Southern house mosquito) (Culex pungens).;507;1;0,75;0,25;2
Gibberella fujikuroi (Bakanae and foot rot disease fungus) (Fusarium fujikuroi).;47;1;0,75;0,25;2
Hypophthalmichthys nobilis (Bighead carp) (Aristichthys nobilis).;3;1;0,75;0,25;2
Phasianus colchicus colchicus (Black-necked pheasant).;5;1;0,75;0,25;2
Plasmodium falciparum (isolate 7G8).;3;1;0,75;0,25;2
Plasmodium falciparum (isolate K1 / Thailand).;105;1;0,75;0,25;2
Plasmodium falciparum (isolate NF7 / Ghana).;22;1;0,75;0,25;2
Plasmodium falciparum.;118;1;0,75;0,25;6
Plasmodium vivax (strain Salvador I).;103;0,910891089;0,660891089;0,25;2
Populus deltoides (Eastern poplar) (Eastern cottonwood).;4;0,75;0,5;0,25;2
Triakis scyllium (Banded houndshark) (Hemigaleus pingi).;3;1;0,75;0,25;1
Plasmodium knowlesi (strain H).;50;0,979166667;0,739583333;0,239583333;2
Saccharomyces paradoxus (Yeast) (Saccharomyces douglasii).;33;0,983870968;0,75;0,233870968;2
Plasmodium falciparum (isolate FCR-3 / Gambia).;27;0,956521739;0,72826087;0,22826087;4
Plasmodium falciparum (isolate 3D7).;428;0,938574939;0,737334737;0,201240201;21
Plasmodium berghei (strain Anka).;72;0,946969697;0,75;0,196969697;6
Selaginella moellendorffii (Spikemoss).;36;0,941176471;0,75;0,191176471;2
Dianthus caryophyllus (Carnation) (Clove pink).;129;1;0,833333333;0,166666667;3
Latrodectus hesperus (Western black widow spider).;4;1;0,833333333;0,166666667;3
Neospora caninum (Coccidian parasite).;5;1;0,833333333;0,166666667;2
Plasmodium falciparum (isolate FC27 / Papua New Guinea).;21;1;0,833333333;0,166666667;3
Poa pratensis (Kentucky bluegrass) (Phalaris japonica).;21;1;0,833333333;0,166666667;3
Salvelinus fontinalis (Brook trout) (Salmo fontinalis).;4;1;0,833333333;0,166666667;1
Leishmania amazonensis.;25;0,913043478;0,75;0,163043478;2
Drosophila mojavensis (Fruit fly).;647;0,971841052;0,818181818;0,153659234;11
Theileria annulata.;99;0,9;0,75;0,15;4
Aplysia californica (California sea hare).;65;0,908;0,76;0,148;25
Musca domestica (House fly).;56;0,955974843;0,823899371;0,132075472;3
Coturnix coturnix (Common quail) (Tetrao coturnix).;7;1;0,875;0,125;4
Solanum pennellii (Tomato) (Lycopersicon pennellii).;6;1;0,875;0,125;2
Viscum album (European mistletoe).;5;1;0,875;0,125;4
Zinnia violacea (Garden zinnia) (Zinnia elegans).;7;1;0,875;0,125;4
Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis).;996;0,992439516;0,875;0,117439516;4
Ricinus communis (Castor bean).;181;0,992052023;0,875;0,117052023;8
Halocynthia roretzi (Sea squirt) (Cynthia roretzi).;22;0,947368421;0,833333333;0,114035088;3
Hydra vulgaris (Hydra) (Hydra attenuata).;42;1;0,888888889;0,111111111;9
Petunia hybrida (Petunia).;248;0,969547325;0,865020576;0,104526749;5
Drosophila willistoni (Fruit fly).;661;0,99958042;0,896013986;0,103566434;11
Haemonchus contortus (Barber pole worm).;33;1;0,9;0,1;5
Metarhizium anisopliae (Entomophthora anisopliae).;10;1;0,9;0,1;5
Trametes versicolor (White-rot fungus) (Coriolus versicolor).;21;1;0,9;0,1;5
Asparagus officinalis (Garden asparagus).;7;1;0,916666667;0,083333333;1
Mytilus californianus (California mussel).;9;1;0,916666667;0,083333333;3
Plasmodium yoelii yoelii.;97;1;0,916666667;0,083333333;6
Alligator mississippiensis (American alligator).;122;1;0,917355372;0,082644628;1
Coccidioides immitis (strain RS) (Valley fever fungus).;1071;0,997183099;0,916197183;0,080985915;6
Drosophila persimilis (Fruit fly).;635;0,995948136;0,916666667;0,079281469;18
Pleurodeles waltl (Iberian ribbed newt).;47;0,995934959;0,916666667;0,079268293;6
